contextRef,entity_identifier,period_start,period_end,instant
icb4f8f6e8a69451794fb5f39ad6a61a0_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
id78512fb858241399c0d5daa43dedefe_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i8db0c0b514a5464c86c41de6074aa2da_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ic7cedbc5305a49b6a11da6ea063b879b_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i61e4fbfde527409d80c2b3a5ec070d7f_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i82bfbd2c1d424b8e80681e793b43bb2a_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
if31ea2c744ab423f97d6741e34366a8a_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i7d9b63ebc4434e959ff0ab7a469d8609_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i36b3df6ba6994200b30633c97933df45_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i870d6c3c5e06438b963d0cd6ab13bc2a_D20171001-20180929,0000320193,2017-10-01,2018-09-29,
i12847d12bc8b40e987ac5a6972f2a6d4_I20200926,0000320193,,,2020-09-26
i8276efd2d9004743a2db95fe9801456e_I20200926,0000320193,,,2020-09-26
i37fe5cb27ac540c6a60fdf77f8ef6e38_I20200926,0000320193,,,2020-09-26
i36e1b4b109a34f82a46185f79be0dda3_I20200926,0000320193,,,2020-09-26
i04e140f4ddde4a179712e47ec950f68d_I20200926,0000320193,,,2020-09-26
i7f9f69ca81f84849bb53256a1404a4f0_I20190928,0000320193,,,2019-09-28
ic7552f08a3264910bc35f5edd0fb9b8c_I20200926,0000320193,,,2020-09-26
if0f746c2481b4810afa1e9c80dfa2972_I20190928,0000320193,,,2019-09-28
i1ce3f90f153d4b00881d4f4791ceac45_I20200926,0000320193,,,2020-09-26
ic029a41f4b0741cb84b18acd5edd396e_I20190928,0000320193,,,2019-09-28
i5363e98665e24055a637d0d233fd24e9_I20190928,0000320193,,,2019-09-28
i6e8415f89f5d4ab4badb8d73da685eca_I20200926,0000320193,,,2020-09-26
i2cf1f7fd072548e3a45436155f3e3fda_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i83a90c47d2724041905c47e1f060097e_I20200926,0000320193,,,2020-09-26
i3d121057e27a4e489a395dd2f198d87e_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
i0a8e13500e9347c58f76b1e5330e48d7_D20190929-20200926,0000320193,2019-09-29,2020-09-26,
id43b0f76cb364180b60e119a485325b7_I20190928,0000320193,,,2019-09-28
ie782a1de53c54dc097bb3811f1f67b7e_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
i8d67e4671336431b86df0e1fb117d65d_D20180930-20190928,0000320193,2018-09-30,2019-09-28,
ic901e6b4c7b245f0a6f8200ead3298e3_I20200926,0000320193,,,2020-09-26
i657db8db4183492e8f4cee949340d1e3_I20190928,0000320193,,,2019-09-28
i8c7ab5fc232c41aabbfdd8369b1309cc_I20200926,0000320193,,,2020-09-26
id05bf996157245f6b83fcf11254c7033_I20190928,0000320193,,,2019-09-28
