label,value,category,prediction_confidence
AvailableForSaleDebtSecuritiesAmortizedCostBasis,"465,202,000,000",noncurrent assets,0.34573943132109647
AvailableForSaleDebtSecuritiesAmortizedCostBasis,"1,135,179,000,000",noncurrent assets,0.34573943132109647
AccruedIncomeTaxesCurrent,"39,617,000,000",current liabilities,0.3467264858122911
ContractWithCustomerLiability,"18,300,000,000",current liabilities,0.34795392919194357
ContractWithCustomerLiability,"26,500,000,000",current liabilities,0.34795392919194357
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,"3,845,000,000",noncurrent liabilities,0.34804077515070764
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,"5,956,000,000",noncurrent liabilities,0.34804077515070764
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"121,591,000,000",current assets,0.348091784856886
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"136,215,000,000",current assets,0.348091784856886
MarketableSecuritiesNoncurrent,"338,404,000,000",noncurrent assets,0.3493814620248989
MarketableSecuritiesNoncurrent,"412,456,000,000",noncurrent assets,0.3493814620248989
LongTermDebtNoncurrent,"190,474,000,000",noncurrent liabilities,0.3496109078552289
LongTermDebtNoncurrent,"164,078,000,000",noncurrent liabilities,0.3496109078552289
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,"963,000,000",subtotal liabilities,0.3502804038449289
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,"2,235,000,000",subtotal liabilities,0.3502804038449289
DeferredTaxAssetsGoodwillAndIntangibleAssets,"19,962,000,000",noncurrent assets,0.35180069827688426
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"7,964,000,000",noncurrent assets,0.35427629102098207
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,"2,284,000,000",noncurrent assets,0.35427629102098207
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,"538,000,000",noncurrent assets,0.35762233805861515
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,"630,000,000",noncurrent assets,0.35762233805861515
