label,value,statement,category,comments,,,,,
RepaymentsOfDebtAndCapitalLeaseObligations,"23,899,000,000",cashflow,financing activities,,,,,,
IncreaseDecreaseInAccountsPayable,"-890,000,000",cashflow,operating activities,,,,,,
EffectiveIncomeTaxRateContinuingOperations,0,income,income tax,,,,,,
ReclassificationFromAociCurrentPeriodNetOfTaxAttributableToParent,"-172,000,000",income,comprehensive income,,,,,,
FinanceLeaseRightOfUseAssetAmortization,"601,000,000",income,Operating Expenses,,,,,,
Revenues,"533,113,000,000",income,Revenue,,,,,,
NetCashProvidedByUsedInInvestingActivities,"-52,083,000,000",cashflow,investing activities,,,,,,
DebtAndEquitySecuritiesGainLoss,"12,168,000,000",income,nonoperating income,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,"64,841,000,000",cashflow,operating activities,,,,,,
ContractWithCustomerLiabilityRevenueRecognized,"3,500,000,000",income,Revenue,,,,,,
GoodwillAcquiredDuringPeriod,"298,000,000",cashflow,investing activities,,,,,,
